ticker,sector,entry_date,exit_date
XLE,SectorETF,2015-01-01,
XLF,SectorETF,2015-01-01,
XLK,SectorETF,2015-01-01,
XLV,SectorETF,2015-01-01,
XLI,SectorETF,2015-01-01,
XLP,SectorETF,2015-01-01,
XLY,SectorETF,2015-01-01,
XLU,SectorETF,2015-01-01,
XLB,SectorETF,2015-01-01,
KO,ConsumerStaples,2015-01-01,
PEP,ConsumerStaples,2015-01-01,
PG,ConsumerStaples,2015-01-01,
CL,ConsumerStaples,2015-01-01,
KMB,ConsumerStaples,2015-01-01,
MDLZ,ConsumerStaples,2015-01-01,
GIS,ConsumerStaples,2015-01-01,
K,ConsumerStaples,2015-01-01,
XOM,Energy,2015-01-01,
CVX,Energy,2015-01-01,
COP,Energy,2015-01-01,
EOG,Energy,2015-01-01,
SLB,Energy,2015-01-01,
HAL,Energy,2015-01-01,
OXY,Energy,2015-01-01,
VLO,Energy,2015-01-01,
MPC,Energy,2015-01-01,
PSX,Energy,2015-01-01,
JPM,Financials,2015-01-01,
BAC,Financials,2015-01-01,
WFC,Financials,2015-01-01,
C,Financials,2015-01-01,
GS,Financials,2015-01-01,
MS,Financials,2015-01-01,
USB,Financials,2015-01-01,
PNC,Financials,2015-01-01,
SCHW,Financials,2015-01-01,
BK,Financials,2015-01-01,
AAPL,Technology,2015-01-01,
MSFT,Technology,2015-01-01,
ORCL,Technology,2015-01-01,
IBM,Technology,2015-01-01,
INTC,Technology,2015-01-01,
AMD,Technology,2015-01-01,
TXN,Technology,2015-01-01,
ADI,Technology,2015-01-01,
MU,Technology,2015-01-01,
CSCO,Technology,2015-01-01,
UNH,Healthcare,2015-01-01,
JNJ,Healthcare,2015-01-01,
PFE,Healthcare,2015-01-01,
MRK,Healthcare,2015-01-01,
ABBV,Healthcare,2015-01-01,
LLY,Healthcare,2015-01-01,
BMY,Healthcare,2015-01-01,
AMGN,Healthcare,2015-01-01,
GILD,Healthcare,2015-01-01,
UPS,Industrials,2015-01-01,
FDX,Industrials,2015-01-01,
UNP,Industrials,2015-01-01,
CSX,Industrials,2015-01-01,
NSC,Industrials,2015-01-01,
CAT,Industrials,2015-01-01,
DE,Industrials,2015-01-01,
HON,Industrials,2015-01-01,
GE,Industrials,2015-01-01,
HD,ConsumerDiscretionary,2015-01-01,
LOW,ConsumerDiscretionary,2015-01-01,
MCD,ConsumerDiscretionary,2015-01-01,
SBUX,ConsumerDiscretionary,2015-01-01,
NKE,ConsumerDiscretionary,2015-01-01,
TGT,ConsumerDiscretionary,2015-01-01,
WMT,ConsumerDiscretionary,2015-01-01,
COST,ConsumerDiscretionary,2015-01-01,
DUK,Utilities,2015-01-01,
SO,Utilities,2015-01-01,
D,Utilities,2015-01-01,
AEP,Utilities,2015-01-01,
EXC,Utilities,2015-01-01,
XEL,Utilities,2015-01-01,
ED,Utilities,2015-01-01,
WEC,Utilities,2015-01-01,
